STDNT_ID	TERM_CD	SBJCT_CD	CATLG_NBR	CRSE_CMPNT_CD	GRD_PNTS_PER_UNIT_NBR	UNITS_ERND_NBR	EXCL_CLASS_CUM_GPA
2059	6	Biology/Biological Sciences, General	113	LEC	3	3	2.751
1106	2	Biology/Biological Sciences, General	113	LEC	2.3	4	2.677
577	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.78
6293	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.397
3123	2	Biology/Biological Sciences, General	113	LEC	3	4	3.511
5780	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.514
2146	10	Biology/Biological Sciences, General	113	LEC	3.7	3	3.24
1855	10	Biology/Biological Sciences, General	113	LEC	3.3	3	3.517
1643	10	Biology/Biological Sciences, General	113	LEC	2.7	3	2.625
6744	6	Biology/Biological Sciences, General	113	LEC	3	3	3.398
5858	14	Biology/Biological Sciences, General	113	LEC	4	3	3.904
4343	2	Biology/Biological Sciences, General	113	LEC	3.3	4	3.333
6548	10	Biology/Biological Sciences, General	113	LEC	3.3	3	3.005
5291	14	Biology/Biological Sciences, General	113	LEC	3.3	3	3.009
4986	6	Biology/Biological Sciences, General	113	LEC	4	3	3.944
1492	14	Biology/Biological Sciences, General	113	LEC	3.3	3	2.755
2239	2	Biology/Biological Sciences, General	113	LEC	3	4	2.907
4619	10	Biology/Biological Sciences, General	113	LEC	4	3	3.949
3807	6	Biology/Biological Sciences, General	113	LEC	3.3	3	3.49
6603	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.825
6897	2	Biology/Biological Sciences, General	113	LEC	4	4	3.843
3895	6	Biology/Biological Sciences, General	113	LEC	4	3	3.917
3745	6	Biology/Biological Sciences, General	113	LEC	3	3	3.216
4604	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.513
1010	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.565
2482	2	Biology/Biological Sciences, General	113	LEC	4	4	3.555
3572	10	Biology/Biological Sciences, General	113	LEC	3	3	2.751
5359	6	Biology/Biological Sciences, General	113	LEC	3.7	3	3.576
214	6	Biology/Biological Sciences, General	113	LEC	3	3	2.952
4815	14	Biology/Biological Sciences, General	113	LEC	3.7	3	3.863
3778	2	Biology/Biological Sciences, General	113	LEC	3.7	4	3.282
193	10	Biology/Biological Sciences, General	113	LEC	3	3	2.22
