STDNT_ID	HS_GPA	MAX_ACT_MATH_SCR	MAX_ACT_ENGL_SCR	STDNT_GNDR_SHORT_DES	FIRST_GENERATION	STDNT_UNDREP_MNRTY_CD	ZIP_CODE	MEDIAN_INCOME
6319	4	35	23	1	0	1	57523	32386
193	3.97	32	33	0	0	0	33009	33661
5119	3.63	25	34	0	0	0	78577	31478
516	3.6	30	27	1	1	1	44090	50009
3824	3.83	30	27	1	0	0	34452	31979
1031	3.94	35	26	1	0	1	72140	50655
6327	3.2	31	24	1	0	1	61060	40455
3113	4	28	29	1	0	0	72959	34567
7012	3.98	25	26	0	0	0	71371	47355
413	3.7	26	33	1	1	0	39150	31140
6265	3.9	23	31	1	0	0	70747	40625
3163	3.7	27	30	1	1	0	05046	39211
3354	4	27	26	1	0	0	52060	40681
2760	0	24	26	1	0	0	77008	74767
1259	3.4	21	26	0	0	0	71962	36961
5440	3.8	24	26	1	0	0	55779	49333
29	4	20	27	1	1	0	29122	29643
4322	3.55	18	25	1	0	0	06413	60186
3673	4	28	24	0	1	0	23974	34842
1712	3.89	24	26	1	0	0	75090	30657
6068	3.8	30	23	0	1	1	43907	40778
5983	3.92	31	22	1	0	0	99119	73188
6687	3.91	28	33	0	0	0	53820	42042
4718	3.85	34	24	1	1	0	92014	84494
2146	3.24	29	27	0	0	0	41238	38409
713	3.85	30	27	0	0	0	45880	40063
6422	3.9	36	28	1	0	1	36111	40679
6613	3.59	24	29	1	0	1	59420	58750
1855	3.94	31	33	1	0	0	06455	75958
2277	3.9	28	29	0	0	0	50569	40952
1303	3.8	27	24	0	0	0	93704	40804
2046	3.7	27	32	1	0	0	16213	33250
6616	0	31	33	1	0	1	98332	73726
1628	3.51	29	31	0	0	0	38105	31336
3819	3.41	29	33	0	0	0	57658	24250
2440	3.79	35	35	0	0	0	38374	29803
3925	3.96	28	32	0	0	0	13842	60500
2218	4	31	34	0	0	0	27890	30744
5534	3.9	24	28	0	0	0	78408	27794
3692	3.64	27	31	1	0	0	48724	44596
4042	3.7	30	32	0	0	1	76302	40716
1563	3.81	28	25	1	0	0	56291	38194
447	4	24	24	1	0	0	17058	33616
4388	3.931	32	33	1	0	0	00767	22284
6725	3.72	34	33	1	1	1	20880	78654
599	3.5	26	34	0	0	0	99826	42426
6509	3.63	27	25	1	0	0	91763	33987
5319	3.83	29	35	1	0	0	42344	37585
6293	3.9	31	28	1	1	0	12958	51360
3395	3.67	29	26	1	0	0	40744	36459
5329	3.7	29	27	0	0	1	68371	49028
3417	3.7	31	31	1	0	0	63653	29524
3572	3.91	30	30	0	0	0	49806	59583
2821	0	29	24	0	0	0	61314	41250
1128	3.96	31	26	1	0	1	53139	50464
4244	3.7	28	35	1	0	1	15312	51263
280	0	32	28	0	0	0	67741	50556
3123	3.99	27	29	0	0	0	72536	27083
3785	3.9	29	34	0	0	0	34758	28651
5616	3.87	28	25	0	0	0	34951	37119
4708	3.6	28	29	0	0	0	41562	34875
552	3.91	28	29	1	0	0	93033	30213
1148	3.98	30	35	1	0	0	17721	50758
3565	3.98	27	26	0	1	1	16847	53553
2363	3.7	29	32	0	0	0	04453	35481
2135	3.92	30	29	1	0	0	83440	34721
6897	3.7	29	28	1	0	0	11561	70860
2782	3.9	27	29	1	0	0	93960	36897
2395	3.9	26	34	0	0	0	26294	27500
1737	3.8	26	29	0	0	0	54832	47679
