zip_code_tabulation_area	B24091_001E
00601	20392
00602	20298
00603	23567
00606	16687
00610	18568
00612	22498
00616	18957
00617	20749
00622	22404
00623	22504
00624	19873
00627	20202
00631	24205
00637	23549
00638	20423
00641	20588
00646	28333
00647	20000
00650	21396
00652	20922
00653	19688
00656	21898
00659	22050
00660	20840
00662	22930
00664	19197
00667	20000
00669	21630
00670	19554
00674	23854
00676	20456
00677	16838
00678	18059
00680	21221
00682	24272
00683	21526
00685	21247
00687	17911
00688	20280
00690	24851
00692	22583
00693	22985
00694	-666666666
00698	21893
00703	19742
00704	19476
00705	23420
00707	23913
00714	20585
00715	16827
00716	26413
00717	23794
00718	19049
00719	21638
00720	19451
00723	21948
00725	24384
00727	27599
00728	21328
00729	21402
00730	23192
00731	20352
00735	20064
00736	22619
00738	19622
00739	20828
00740	24770
00741	20781
00745	21597
00751	20880
00754	22089
00757	24468
00765	19384
00766	20972
00767	22284
00769	21754
00771	23536
00772	19682
00773	20792
00775	17069
00777	21654
00778	28471
00780	24648
00782	18320
00783	19028
00784	21372
00786	-666666666
00791	22052
00794	21500
00795	21980
00901	35096
00906	61771
00907	33823
00909	24000
00911	32267
00912	22014
00913	20925
00915	17170
00917	19758
00918	39096
00920	24247
00921	23456
00923	22280
00924	25782
00925	24434
00926	32697
00927	37313
00934	-666666666
00936	-666666666
00949	24947
00950	-666666666
00951	-666666666
00952	21680
00953	26824
00956	22475
00957	23710
00959	26807
00960	-666666666
00961	29487
00962	19394
00965	18899
00966	47465
00968	51910
00969	39821
00971	23711
00976	26056
00979	31234
00982	26645
00983	24250
00985	23344
00987	29337
01001	52212
01002	56822
01003	15625
01005	60445
01007	59506
01008	53966
01009	41250
01010	61169
01011	48417
01012	47500
01013	41939
01020	47349
01022	47966
01026	45417
01027	48346
01028	61589
01029	44048
01030	55682
01031	45000
01032	52059
01033	58481
01034	56750
01035	58903
01036	65446
01037	60197
01038	51856
01039	48875
01040	43882
01050	45357
01053	68295
01054	55104
01056	52642
01057	54640
01060	54390
01062	62737
01063	-666666666
01066	-666666666
01068	55370
01069	46741
01070	44940
01071	51724
01072	58654
01073	62986
01074	38514
01075	50850
01077	60491
01079	36705
01080	41429
01081	50588
01082	48633
01083	49911
01084	54792
01085	49899
01086	-666666666
01088	50917
01089	48001
01092	60346
01093	83125
01094	78125
01095	62411
01096	57071
01097	-666666666
01098	60119
01103	48977
01104	35501
01105	31533
01106	82118
01107	34970
01108	40496
01109	36208
01118	49805
01119	44797
01128	52487
01129	50806
01151	36460
01199	-666666666
01201	47279
01220	45468
01222	48594
01223	52123
01224	37599
01225	48750
01226	49354
01229	-666666666
01230	44811
01235	49738
01236	46325
01237	50819
01238	43808
01240	68787
01242	38672
01243	56719
01244	77938
01245	58750
01247	40951
01253	60673
01254	54615
01255	46667
01256	46250
01257	45192
01258	43500
01259	55000
01260	50728
01262	57844
01264	47500
01266	47277
01267	64464
01270	51833
01301	45625
01330	50395
01331	53414
01337	51350
01338	40909
01339	46429
01340	44300
01341	56528
01342	74601
01343	83438
01344	45244
01346	57188
01347	41759
01349	53056
01350	66250
01351	54770
01354	44978
01355	54375
01360	60614
01364	44715
01366	45268
01367	48500
01368	52303
01370	51777
01373	57434
01375	47396
01376	40619
01378	51484
01379	44125
01420	45064
01430	61569
01431	61168
01432	67041
01434	64125
01436	57481
01438	31852
01440	44396
01450	92375
01451	104111
01452	65795
01453	48782
01460	86322
01462	66764
01463	67500
01464	51413
01467	102949
01468	48750
01469	55389
01473	71054
01474	62727
01475	48598
01501	61644
01503	71222
01504	52237
01505	69079
01506	56003
01507	66471
01510	48796
01515	57411
01516	55483
01518	49950
01519	74481
01520	69559
01521	56372
01522	70985
01523	67069
01524	48724
01525	36776
01527	56550
01529	63958
01531	60952
01532	80101
01534	65266
01535	53828
01536	73246
01537	59426
01540	52436
01541	80871
01542	57000
01543	66314
01545	75817
01550	41312
01560	65972
01561	-666666666
01562	47171
01564	77953
01566	66146
01568	77821
01569	57275
01570	46110
01571	52427
01581	86867
01583	57697
01585	52452
01588	50541
01590	67389
01602	55143
01603	39290
01604	42961
01605	41852
01606	55086
01607	44268
01608	30466
01609	50281
01610	35595
01611	50564
01612	70500
01701	71925
01702	45810
01718	122679
01719	99276
01720	103108
01721	82915
01730	94663
01731	55917
01740	101594
01741	150750
01742	107909
01745	78250
01746	84813
01747	64448
01748	96957
01749	59554
01752	59901
01754	73407
01756	80815
01757	54963
01760	81941
01770	135278
01772	97070
01773	128589
01775	103223
01776	123712
01778	111208
01801	60160
01803	76132
01810	102704
01821	62380
01824	80952
01826	60365
01827	84958
01830	51542
01832	52903
01833	80481
01834	60857
01835	60504
01840	35216
01841	30459
01843	38530
01844	51729
01845	79368
01850	40513
01851	41957
01852	46597
01854	41270
01860	75720
01862	59729
01863	73688
01864	77482
01867	84458
01876	66033
01879	63102
01880	67489
01886	93839
01887	65826
01890	104797
01901	29489
01902	37487
01904	54556
01905	41669
01906	59495
01907	77710
01908	71667
01913	61535
01915	63071
01921	102601
01922	69141
01923	60849
01929	72125
01930	52756
01937	-666666666
01938	64155
01940	85053
01944	78458
01945	93889
01949	88289
01950	74456
01951	69073
01952	51772
01960	51998
01966	56910
01969	71346
01970	54454
01982	88508
01983	89781
01984	83750
01985	85694
02019	64222
02021	72856
02025	111914
02026	65106
02030	134625
02032	81000
02035	68074
02038	75161
02043	102444
02045	63945
02047	-666666666
02048	70530
02050	70592
02052	105854
02053	71781
02054	74297
02056	85645
02061	93938
02062	65553
02066	86843
02067	87169
02071	57216
02072	56336
02081	81321
02090	102841
02093	75641
02108	92917
02109	81087
02110	125481
02111	66827
02113	70776
02114	80327
02115	59554
02116	95265
02118	85810
02119	40386
02120	42708
02121	39493
02122	42157
02124	45489
02125	45670
02126	42500
02127	71610
02128	40409
02129	83958
02130	63489
02131	53461
02132	70846
02134	48168
02135	55630
02136	49189
02138	75481
02139	62068
02140	70650
02141	62116
02142	103879
02143	56910
02144	64217
02145	49734
02148	49943
02149	41656
02150	38972
02151	43383
02152	59157
02155	62204
02163	80345
02169	58264
02170	60113
02171	55883
02176	74933
02180	65638
02184	65975
02186	87113
02188	63429
02189	51385
02190	64784
02191	58242
02199	139821
02203	-666666666
02210	123827
02215	61587
02301	42202
02302	45822
02322	46909
02324	56899
02330	54829
02332	93239
02333	56927
02338	56867
02339	80347
02341	62094
02343	52527
02346	53034
02347	61673
02351	56802
02356	72500
02357	90577
02359	63718
02360	60173
02364	63728
02366	-666666666
02367	62250
02368	49795
02370	53686
02375	64529
02379	57060
02382	57189
02420	128242
02421	123848
02445	79922
02446	73775
02451	61829
02452	62500
02453	54645
02457	6875
02458	70712
02459	113891
02460	86593
02461	103924
02462	133796
02464	73849
02465	106011
02466	89050
02467	93011
02468	130313
02472	65757
02474	82551
02476	81038
02478	85965
02481	152621
02482	121808
02492	111809
02493	153909
02494	91250
02532	59962
02534	61994
02535	45694
02536	52177
02537	76086
02538	39450
02539	52022
02540	55053
02542	66071
02543	47537
02553	-666666666
02554	58442
02556	76077
02557	67294
02558	65085
02559	63375
02561	2499
02562	59297
02563	67550
02564	50357
02568	46169
02571	54341
02575	62902
02576	57727
02584	-666666666
02601	37054
02630	59219
02631	54757
02632	54192
02633	54856
02635	57034
02637	73750
02638	56607
02639	41703
02641	52083
02642	52581
